"年度","リーグID","チームID","打者ID","月","試合","打席","打数","得点","安打","二塁打","三塁打","本塁打","塁打","打点","三振","四球","死球","犠打","犠飛","盗塁","盗塁死","併殺打","打率","長打率","出塁率","OPS","年間通算打数","年間通算安打","年間通算打率","data.means.km.cluster"
"20",2009,2,7,10117,8,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,5,0.128205128205128,5
"21",2009,1,6,10127,4,14,20,16,0,1,0,0,0,1,1,1,3,1,0,0,0,0,0,0.0625,0.0625,0.25,0.3125,16,1,0.0625,5
"22",2009,1,6,10127,5,4,4,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.25,0.25,19,1,0.0526315789473684,5
"23",2009,1,6,10127,6,10,13,13,0,4,1,0,0,5,2,0,0,0,0,0,0,0,0,0.307692307692,0.384615384615,0.307692307692,0.692307692308,32,5,0.15625,2
"24",2009,1,6,10127,7,12,10,8,2,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0.125,0.125,0.3,0.425,40,6,0.15,2
"25",2009,1,6,10127,8,9,9,8,0,2,0,0,0,2,4,0,0,0,0,1,0,0,0,0.25,0.25,0.222222222222,0.472222222222,48,8,0.166666666666667,2
"26",2009,1,6,10127,9,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,NA,NA,1,NA,48,8,0.166666666666667,5
"27",2009,1,6,10127,10,1,1,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,1,3,1,4,49,9,0.183673469387755,5
"28",2009,1,4,10175,4,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
"29",2009,1,4,10175,6,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,5
"30",2009,1,4,10175,9,3,4,3,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0.25,0.25,5,0,0,5
"31",2010,1,4,10175,8,4,8,7,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0.125,0.125,7,0,0,5
"32",2010,1,4,10175,9,4,10,6,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0.25,0.25,13,0,0,5
"33",2012,1,4,10175,4,5,10,9,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0.1,0.1,9,0,0,5
"34",2012,1,4,10175,5,4,4,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,5
"35",2012,1,4,10175,7,1,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,0,0,5
"36",2012,1,4,10175,9,2,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,18,0,0,5
"37",2012,1,4,10175,10,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,5
"38",2013,1,4,10175,4,1,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5
"39",2013,1,4,10175,5,2,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5
"40",2013,1,4,10175,6,5,6,2,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0.5,0.5,8,0,0,5
"41",2013,1,4,10175,7,3,4,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.333333333333,0.333333333333,10,0,0,5
"42",2013,1,4,10175,8,3,5,4,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0.25,0.25,0.4,0.65,14,1,0.0714285714285714,5
"43",2013,1,4,10175,9,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,14,1,0.0714285714285714,5
"44",2013,1,4,10175,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,14,1,0.0714285714285714,5
"45",2009,2,376,10236,4,20,82,74,9,16,3,0,4,31,11,18,7,0,0,1,0,0,4,0.216216216216,0.418918918919,0.280487804878,0.699406723797,74,16,0.216216216216216,1
"46",2009,2,376,10236,5,23,96,83,10,24,7,0,4,43,13,16,12,1,0,0,0,0,7,0.289156626506,0.518072289157,0.385416666667,0.903488955823,157,40,0.254777070063694,1
"47",2009,2,376,10236,6,19,75,64,12,16,3,0,6,37,9,13,11,0,0,0,1,0,2,0.25,0.578125,0.36,0.938125,221,56,0.253393665158371,1
"48",2009,2,376,10236,7,21,91,82,14,25,4,0,8,53,19,16,7,1,0,1,1,0,4,0.30487804878,0.646341463415,0.362637362637,1.00897882605,303,81,0.267326732673267,1
"49",2009,2,376,10236,8,24,111,98,13,24,6,0,8,54,28,24,12,1,0,0,1,0,4,0.244897959184,0.551020408163,0.333333333333,0.884353741497,401,105,0.261845386533666,1
"50",2009,2,376,10236,9,26,118,101,12,23,4,0,7,48,22,18,14,1,0,2,0,0,1,0.227722772277,0.475247524752,0.322033898305,0.797281423058,502,128,0.254980079681275,1
"51",2009,2,376,10236,10,9,38,34,3,4,0,0,2,10,5,9,4,0,0,0,0,0,1,0.117647058824,0.294117647059,0.210526315789,0.504643962848,536,132,0.246268656716418,3
"52",2010,2,376,10236,3,7,29,28,0,3,1,0,0,4,1,9,0,1,0,0,0,0,1,0.107142857143,0.142857142857,0.137931034483,0.28078817734,28,3,0.107142857142857,2
"53",2010,2,376,10236,4,24,103,92,8,22,6,0,4,40,16,20,8,2,0,1,0,0,2,0.239130434783,0.434782608696,0.31067961165,0.745462220346,120,25,0.208333333333333,1
"54",2010,2,376,10236,5,20,84,79,10,20,1,0,7,42,14,22,4,1,0,0,0,0,1,0.253164556962,0.53164556962,0.297619047619,0.829264617239,199,45,0.226130653266332,1
"55",2010,2,376,10236,6,20,84,71,9,13,5,0,4,30,7,19,12,1,0,0,0,0,1,0.183098591549,0.422535211268,0.309523809524,0.732059020791,270,58,0.214814814814815,1
"56",2010,2,376,10236,7,21,84,80,8,21,5,0,4,38,15,26,4,0,0,0,0,0,0,0.2625,0.475,0.297619047619,0.772619047619,350,79,0.225714285714286,1
"57",2010,2,376,10236,8,24,105,92,12,24,4,0,5,43,21,28,9,2,0,2,0,0,2,0.260869565217,0.467391304348,0.333333333333,0.800724637681,442,103,0.233031674208145,1
"58",2010,2,376,10236,9,25,109,98,11,26,4,1,4,44,19,23,8,0,0,3,1,0,3,0.265306122449,0.448979591837,0.311926605505,0.760906197341,540,129,0.238888888888889,1
"59",2011,2,376,10236,4,15,60,53,6,16,5,1,3,32,11,11,5,0,0,2,0,1,0,0.301886792453,0.603773584906,0.35,0.953773584906,53,16,0.30188679245283,1
"60",2011,2,376,10236,5,23,90,82,4,21,3,0,3,33,9,24,6,2,0,0,0,0,4,0.256097560976,0.40243902439,0.322222222222,0.724661246612,135,37,0.274074074074074,1
"61",2011,2,376,10236,6,8,31,27,1,8,2,0,1,13,4,5,2,1,0,1,0,0,1,0.296296296296,0.481481481481,0.354838709677,0.836320191159,162,45,0.277777777777778,2
"62",2011,2,376,10236,7,8,32,30,2,8,1,0,0,9,5,8,2,0,0,0,0,0,0,0.266666666667,0.3,0.3125,0.6125,192,53,0.276041666666667,2
"63",2011,2,376,10236,8,25,100,91,9,19,3,0,3,31,11,23,5,1,0,3,0,0,3,0.208791208791,0.340659340659,0.25,0.590659340659,283,72,0.254416961130742,1
"64",2011,2,376,10236,9,22,88,78,4,10,1,0,1,14,8,18,8,0,0,2,0,0,2,0.128205128205,0.179487179487,0.204545454545,0.384032634033,361,82,0.227146814404432,1
"65",2011,2,376,10236,10,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,362,83,0.229281767955801,3
"66",2012,1,4,10236,3,2,8,8,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0.25,0.375,0.25,0.625,8,2,0.25,2
"67",2012,1,4,10236,4,19,61,51,3,13,4,0,0,17,5,13,6,4,0,0,0,0,1,0.254901960784,0.333333333333,0.377049180328,0.710382513661,59,15,0.254237288135593,4
"68",2012,1,4,10236,5,14,27,21,1,6,0,0,0,6,2,6,5,0,0,1,1,0,0,0.285714285714,0.285714285714,0.407407407407,0.693121693122,80,21,0.2625,2
"69",2012,1,4,10236,6,15,26,24,0,2,1,0,0,3,0,7,2,0,0,0,0,0,0,0.0833333333333,0.125,0.153846153846,0.278846153846,104,23,0.221153846153846,2
"70",2012,1,4,10236,7,21,52,47,3,10,3,0,1,16,5,12,4,0,0,1,0,0,2,0.212765957447,0.340425531915,0.269230769231,0.609656301146,151,33,0.218543046357616,4
"71",2012,1,4,10236,8,16,38,37,1,6,4,0,0,10,1,5,1,0,0,0,0,0,2,0.162162162162,0.27027027027,0.184210526316,0.454480796586,188,39,0.207446808510638,2
"72",2012,1,4,10236,9,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,189,39,0.206349206349206,2
"73",2012,1,4,10236,10,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,191,40,0.209424083769634,2
"74",2013,1,4,10236,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5
"75",2013,1,4,10236,4,5,6,6,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1,0.166666666667,0.166666666667,0.166666666667,0.333333333333,7,1,0.142857142857143,5
"76",2013,1,4,10236,5,8,11,11,1,2,0,1,0,4,3,3,0,0,0,0,0,0,1,0.181818181818,0.363636363636,0.181818181818,0.545454545455,18,3,0.166666666666667,2
"77",2013,1,4,10236,6,13,25,19,0,6,1,0,0,7,2,3,4,2,0,0,0,0,0,0.315789473684,0.368421052632,0.48,0.848421052632,37,9,0.243243243243243,2
"78",2013,1,4,10236,7,12,12,10,0,3,0,0,0,3,1,2,1,1,0,0,0,0,0,0.3,0.3,0.416666666667,0.716666666667,47,12,0.25531914893617,2
"79",2013,1,4,10236,9,10,10,9,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0.1,0.1,56,12,0.214285714285714,2
"80",2013,1,4,10236,10,2,6,6,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.166666666667,0.166666666667,0.166666666667,0.333333333333,62,13,0.209677419354839,2
"81",2009,1,4,10266,4,13,13,11,1,4,0,0,1,7,1,0,2,0,0,0,0,0,0,0.363636363636,0.636363636364,0.461538461538,1.0979020979,11,4,0.363636363636364,2
"82",2009,1,4,10266,5,13,13,9,0,3,1,0,0,4,2,2,4,0,0,0,0,0,0,0.333333333333,0.444444444444,0.538461538462,0.982905982906,20,7,0.35,2
"83",2009,1,4,10266,6,8,8,8,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,28,9,0.321428571428571,2
"84",2009,1,4,10266,7,12,12,8,0,2,1,0,0,3,5,1,4,0,0,0,0,0,0,0.25,0.375,0.5,0.875,36,11,0.305555555555556,2
"85",2009,1,4,10266,8,13,13,12,2,5,2,0,0,7,6,2,1,0,0,0,0,0,1,0.416666666667,0.583333333333,0.461538461538,1.04487179487,48,16,0.333333333333333,2
"86",2009,1,4,10266,9,15,18,15,0,5,1,0,0,6,3,1,1,1,0,1,0,0,0,0.333333333333,0.4,0.388888888889,0.788888888889,63,21,0.333333333333333,2
"87",2009,1,4,10266,10,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,21,0.318181818181818,2
"88",2009,1,6,10270,4,20,54,45,6,8,3,0,0,11,4,6,6,1,2,0,1,0,0,0.177777777778,0.244444444444,0.288461538462,0.532905982906,45,8,0.177777777777778,4
"89",2009,1,6,10270,5,15,49,39,3,8,2,0,0,10,4,5,6,1,3,0,1,0,1,0.205128205128,0.25641025641,0.326086956522,0.582497212932,84,16,0.19047619047619,4
"90",2009,1,6,10270,6,6,15,14,1,2,0,1,0,4,0,2,0,0,1,0,0,0,1,0.142857142857,0.285714285714,0.142857142857,0.428571428571,98,18,0.183673469387755,2
"91",2009,1,6,10270,7,12,38,34,6,10,2,0,2,18,4,5,2,1,1,0,0,0,2,0.294117647059,0.529411764706,0.351351351351,0.880763116057,132,28,0.212121212121212,2
"92",2009,1,6,10270,8,14,34,29,7,7,1,0,0,8,2,6,3,1,1,0,0,0,0,0.241379310345,0.275862068966,0.333333333333,0.609195402299,161,35,0.217391304347826,2
"93",2009,1,6,10270,9,17,40,35,3,12,2,2,0,18,4,6,3,0,2,0,0,0,0,0.342857142857,0.514285714286,0.394736842105,0.909022556391,196,47,0.239795918367347,4
"94",2009,1,6,10270,10,5,16,15,1,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0.0666666666667,0.0666666666667,0.0666666666667,0.133333333333,211,48,0.227488151658768,2
"95",2010,1,6,10270,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5
"96",2010,1,6,10270,4,10,10,9,0,2,1,0,0,3,1,4,0,0,1,0,0,0,0,0.222222222222,0.333333333333,0.222222222222,0.555555555556,11,2,0.181818181818182,2
"97",2010,1,6,10270,5,7,13,12,1,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0.166666666667,0.166666666667,0.166666666667,0.333333333333,23,4,0.173913043478261,2
"98",2010,1,6,10270,6,12,42,35,8,12,0,1,0,14,7,7,6,0,1,0,1,1,0,0.342857142857,0.4,0.439024390244,0.839024390244,58,16,0.275862068965517,4
"99",2010,1,6,10270,7,12,36,34,1,9,2,0,0,11,2,5,0,1,1,0,0,0,0,0.264705882353,0.323529411765,0.285714285714,0.609243697479,92,25,0.271739130434783,2
"100",2010,1,6,10270,8,11,15,13,0,4,0,0,0,4,1,1,1,0,1,0,0,0,0,0.307692307692,0.307692307692,0.357142857143,0.664835164835,105,29,0.276190476190476,2
"101",2010,1,6,10270,9,19,44,41,5,18,2,0,0,20,8,3,3,0,0,0,0,0,2,0.439024390244,0.487804878049,0.477272727273,0.965077605322,146,47,0.321917808219178,2
"102",2010,1,6,10270,10,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.333333333333,0.333333333333,148,47,0.317567567567568,2
"103",2011,1,6,10270,4,4,7,3,2,3,0,0,0,3,0,0,3,0,1,0,0,0,0,1,1,1,2,3,3,1,2
"104",2011,1,6,10270,5,11,19,16,1,4,0,1,0,6,0,1,3,0,0,0,0,0,0,0.25,0.375,0.368421052632,0.743421052632,19,7,0.368421052631579,2
"105",2011,1,6,10270,6,9,20,18,0,3,0,0,0,3,1,4,1,0,1,0,0,0,0,0.166666666667,0.166666666667,0.210526315789,0.377192982456,37,10,0.27027027027027,2
"106",2011,1,6,10270,7,10,18,15,1,2,0,0,0,2,1,0,3,0,0,0,0,0,0,0.133333333333,0.133333333333,0.277777777778,0.411111111111,52,12,0.230769230769231,2
"107",2011,1,6,10270,8,15,19,17,4,5,2,0,0,7,1,3,2,0,0,0,0,0,0,0.294117647059,0.411764705882,0.368421052632,0.780185758514,69,17,0.246376811594203,2
"108",2011,1,6,10270,9,11,22,22,3,6,0,1,1,11,1,5,0,0,0,0,0,0,1,0.272727272727,0.5,0.272727272727,0.772727272727,91,23,0.252747252747253,2
"109",2011,1,6,10270,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,23,0.25,2
"110",2012,1,6,10270,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
"111",2012,1,6,10270,4,9,9,9,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0.222222222222,0.222222222222,0.222222222222,0.444444444444,10,2,0.2,2
"112",2012,1,6,10270,5,8,8,6,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.25,0.25,16,2,0.125,5
"113",2012,1,6,10270,6,8,16,16,0,3,1,0,0,4,2,2,0,0,0,0,0,0,1,0.1875,0.25,0.1875,0.4375,32,5,0.15625,2
"114",2012,1,6,10270,7,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,5,0.147058823529412,5
"115",2012,1,6,10270,9,1,5,4,0,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0.5,0.5,0.6,1.1,38,7,0.184210526315789,5
"116",2012,1,6,10270,10,2,6,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.333333333333,0.333333333333,42,7,0.166666666666667,5
"117",2009,1,4,10278,4,5,12,12,0,3,1,0,0,4,2,1,0,0,0,0,0,0,0,0.25,0.333333333333,0.25,0.583333333333,12,3,0.25,2
"118",2009,1,4,10278,5,20,52,41,5,7,1,0,0,8,1,9,4,1,4,1,0,0,0,0.170731707317,0.19512195122,0.255319148936,0.450441100156,53,10,0.188679245283019,4
"119",2009,1,4,10278,6,18,64,50,6,11,2,0,0,13,4,9,10,0,3,1,0,0,1,0.22,0.26,0.344262295082,0.604262295082,103,21,0.203883495145631,4
"120",2009,1,4,10278,7,22,76,65,5,13,1,0,3,23,9,12,7,0,4,0,0,0,3,0.2,0.353846153846,0.277777777778,0.631623931624,168,34,0.202380952380952,4
"121",2009,1,4,10278,8,24,76,57,6,10,1,0,2,17,5,17,12,2,5,0,0,0,2,0.175438596491,0.298245614035,0.338028169014,0.636273783049,225,44,0.195555555555556,4
"122",2009,1,4,10278,9,23,78,63,10,14,0,0,4,26,10,13,10,0,3,2,0,0,2,0.222222222222,0.412698412698,0.32,0.732698412698,288,58,0.201388888888889,1
"123",2009,1,4,10278,10,3,11,10,0,4,1,0,0,5,2,1,1,0,0,0,0,0,1,0.4,0.5,0.454545454545,0.954545454545,298,62,0.208053691275168,3
"124",2010,1,4,10278,3,4,14,14,1,2,0,0,0,2,1,4,0,0,0,0,0,0,0,0.142857142857,0.142857142857,0.142857142857,0.285714285714,14,2,0.142857142857143,5
"125",2010,1,4,10278,4,20,68,53,3,13,3,0,2,22,9,14,12,0,2,1,0,0,0,0.245283018868,0.415094339623,0.378787878788,0.793882218411,67,15,0.223880597014925,4
"126",2010,1,4,10278,5,20,62,50,1,9,2,0,0,11,4,16,9,0,3,0,0,0,1,0.18,0.22,0.305084745763,0.525084745763,117,24,0.205128205128205,4
"127",2010,1,4,10278,6,18,55,43,4,7,0,0,1,10,6,9,9,1,2,0,0,0,2,0.162790697674,0.232558139535,0.320754716981,0.553312856516,160,31,0.19375,4
"128",2010,1,4,10278,7,17,64,55,9,16,4,0,4,32,7,15,5,2,2,0,0,1,0,0.290909090909,0.581818181818,0.370967741935,0.952785923754,215,47,0.218604651162791,1
"129",2010,1,4,10278,8,15,46,41,3,13,4,0,0,17,3,8,3,1,1,0,0,0,1,0.317073170732,0.414634146341,0.377777777778,0.792411924119,256,60,0.234375,4
"130",2010,1,4,10278,9,15,56,50,2,14,2,0,0,16,2,15,4,1,1,0,0,0,1,0.28,0.32,0.345454545455,0.665454545455,306,74,0.241830065359477,4
"131",2010,1,4,10278,10,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,308,75,0.243506493506494,3
"132",2011,1,4,10278,4,14,47,37,4,12,0,0,0,12,2,9,9,1,0,0,0,0,2,0.324324324324,0.324324324324,0.468085106383,0.792409430707,37,12,0.324324324324324,2
"133",2011,1,4,10278,5,21,74,57,6,6,1,0,1,10,6,12,10,0,6,1,0,0,1,0.105263157895,0.175438596491,0.235294117647,0.410732714138,94,18,0.191489361702128,4
"134",2011,1,4,10278,6,3,7,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,101,18,0.178217821782178,2
"135",2011,1,4,10278,7,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,101,18,0.178217821782178,5
"136",2011,1,4,10278,8,24,59,49,1,15,1,0,1,19,4,3,7,0,3,0,0,0,1,0.30612244898,0.387755102041,0.392857142857,0.780612244898,150,33,0.22,4
"137",2011,1,4,10278,9,23,88,78,8,26,7,0,3,42,16,18,8,1,1,0,0,0,0,0.333333333333,0.538461538462,0.402298850575,0.940760389036,228,59,0.258771929824561,1
"138",2011,1,4,10278,10,15,54,49,7,12,1,0,1,16,3,8,4,0,1,0,0,0,0,0.244897959184,0.326530612245,0.301886792453,0.628417404698,277,71,0.256317689530686,4
"139",2012,1,4,10278,3,2,8,4,0,0,0,0,0,0,1,3,3,0,0,1,0,0,0,0,0,0.375,0.375,4,0,0,5
"140",2012,1,4,10278,4,24,76,59,4,16,3,0,1,22,4,7,13,1,3,0,0,0,4,0.271186440678,0.372881355932,0.41095890411,0.783840260042,63,16,0.253968253968254,4
"141",2012,1,4,10278,5,23,81,72,2,20,5,0,0,25,8,14,6,1,2,0,0,0,3,0.277777777778,0.347222222222,0.341772151899,0.688994374121,135,36,0.266666666666667,4
"142",2012,1,4,10278,6,19,66,55,3,11,3,0,0,14,4,4,9,1,1,0,0,0,2,0.2,0.254545454545,0.323076923077,0.577622377622,190,47,0.247368421052632,4
"143",2012,1,4,10278,7,19,73,59,2,17,3,0,2,26,7,11,10,1,3,0,0,0,1,0.28813559322,0.440677966102,0.4,0.840677966102,249,64,0.257028112449799,4
"144",2012,1,4,10278,8,24,91,77,2,14,0,0,1,17,6,15,9,0,4,1,0,1,2,0.181818181818,0.220779220779,0.264367816092,0.485147036871,326,78,0.239263803680982,4
"145",2012,1,4,10278,9,20,53,50,1,8,0,0,0,8,1,11,2,0,1,0,0,0,3,0.16,0.16,0.192307692308,0.352307692308,376,86,0.228723404255319,3
"146",2012,1,4,10278,10,3,10,10,1,2,0,0,1,5,1,2,0,0,0,0,0,0,0,0.2,0.5,0.2,0.7,386,88,0.227979274611399,3
"147",2013,1,4,10278,3,3,11,8,1,5,0,0,0,5,4,0,2,1,0,0,0,1,0,0.625,0.625,0.727272727273,1.35227272727,8,5,0.625,2
"148",2013,1,4,10278,4,25,91,79,5,22,6,0,1,31,9,11,9,0,1,2,0,0,2,0.278481012658,0.392405063291,0.344444444444,0.736849507736,87,27,0.310344827586207,1
"149",2013,1,4,10278,5,21,75,67,7,19,3,0,2,28,7,15,5,2,0,1,0,0,4,0.283582089552,0.417910447761,0.346666666667,0.764577114428,154,46,0.298701298701299,4
"150",2013,1,4,10278,6,13,40,36,1,6,0,0,1,9,2,6,3,0,1,0,0,0,0,0.166666666667,0.25,0.230769230769,0.480769230769,190,52,0.273684210526316,2
"151",2013,1,4,10278,7,20,71,64,1,8,2,0,1,13,2,12,5,1,1,0,0,0,2,0.125,0.203125,0.2,0.403125,254,60,0.236220472440945,4
"152",2013,1,4,10278,8,25,85,67,1,12,0,0,0,12,4,16,17,0,1,0,1,0,3,0.179104477612,0.179104477612,0.345238095238,0.52434257285,321,72,0.224299065420561,4
"153",2013,1,4,10278,9,20,63,56,3,10,1,0,1,14,6,10,5,0,2,0,0,1,0,0.178571428571,0.25,0.245901639344,0.495901639344,377,82,0.217506631299735,4
"154",2013,1,4,10278,10,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,82,0.216358839050132,3
"155",2014,1,4,10278,3,3,8,8,0,1,0,0,0,1,0,3,0,0,0,0,0,0,2,0.125,0.125,0.125,0.25,8,1,0.125,5
"156",2014,1,4,10278,4,16,51,43,3,7,2,0,0,9,5,5,7,0,1,0,0,0,0,0.162790697674,0.209302325581,0.28,0.489302325581,51,8,0.156862745098039,2
"157",2014,1,4,10278,5,15,51,46,4,8,4,0,0,12,4,8,3,1,1,0,0,0,2,0.173913043478,0.260869565217,0.24,0.500869565217,97,16,0.164948453608247,4
"158",2009,1,3,10397,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,1,NA,0,0,0,5
"159",2009,1,3,10397,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"160",2009,1,3,10397,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"161",2009,1,3,10397,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"162",2009,1,3,10397,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"163",2009,1,3,10397,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"164",2009,1,3,10397,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
