"X10278_2014_6","X0"
"172","500068_2014_7",0.21374
"173","500077_2014_6",0.21374
"174","500077_2014_7",0.21374
"175","500079_2014_6",0.21374
"176","500079_2014_7",0.21374
"177","500082_2014_6",0.21374
"178","500083_2014_7",0.21374
"179","500084_2014_6",0.21374
"180","500089_2014_6",0.21374
"181","500089_2014_7",0.21374
"182","500090_2014_6",0.21374
"183","500090_2014_7",0.21374
"184","500118_2014_6",0.21374
"185","500480_2014_6",0.21374
"186","500480_2014_7",0.21374
"187","500502_2014_6",0.21374
"188","500502_2014_7",0.21374
"189","500518_2014_6",0.21374
"190","500518_2014_7",0.21374
"191","500612_2014_6",0.21374
"192","500612_2014_7",0.21374
"193","500648_2014_6",0.21374
"194","500648_2014_7",0.21374
"195","600001_2014_7",0.21374
"196","600003_2014_6",0.21374
"197","600003_2014_7",0.21374
"198","600004_2014_6",0.21374
"199","600008_2014_6",0.21374
"200","600008_2014_7",0.21374
"201","600009_2014_6",0.21374
"202","600009_2014_7",0.21374
"203","600010_2014_7",0.21374
"204","600011_2014_6",0.21374
"205","600011_2014_7",0.21374
"206","600020_2014_6",0.21374
"207","600020_2014_7",0.21374
"208","600023_2014_6",0.21374
"209","600023_2014_7",0.21374
"210","600024_2014_6",0.21374
"211","600024_2014_7",0.21374
"212","600026_2014_6",0.21374
"213","600026_2014_7",0.21374
"214","600032_2014_6",0.21374
"215","600032_2014_7",0.21374
"216","600037_2014_6",0.21374
"217","600037_2014_7",0.21374
"218","600038_2014_6",0.21374
"219","600038_2014_7",0.21374
"220","600044_2014_7",0.21374
"221","600049_2014_6",0.21374
"222","600052_2014_6",0.21374
"223","600052_2014_7",0.21374
"224","600057_2014_6",0.21374
"225","600057_2014_7",0.21374
"226","600062_2014_6",0.21374
"227","600062_2014_7",0.21374
"228","600065_2014_6",0.21374
"229","600065_2014_7",0.21374
"230","600068_2014_6",0.21374
"231","600068_2014_7",0.21374
"232","600078_2014_7",0.21374
"233","600079_2014_6",0.21374
"234","600079_2014_7",0.21374
"235","600080_2014_6",0.21374
"236","600080_2014_7",0.21374
"237","600081_2014_6",0.21374
"238","600081_2014_7",0.21374
"239","600084_2014_6",0.21374
"240","600084_2014_7",0.21374
"241","600085_2014_6",0.21374
"242","600087_2014_6",0.21374
"243","600087_2014_7",0.21374
"244","600089_2014_6",0.21374
"245","600089_2014_7",0.21374
"246","600092_2014_6",0.21374
"247","600092_2014_7",0.21374
"248","600094_2014_6",0.21374
"249","600101_2014_6",0.21374
"250","600241_2014_6",0.21374
"251","600241_2014_7",0.21374
"252","600246_2014_6",0.21374
"253","600246_2014_7",0.21374
"254","700003_2014_6",0.21374
"255","700003_2014_7",0.21374
"256","700010_2014_7",0.21374
"257","700014_2014_6",0.21374
"258","700014_2014_7",0.21374
"259","700020_2014_6",0.21374
"260","700020_2014_7",0.21374
"261","700026_2014_6",0.21374
"262","700026_2014_7",0.21374
"263","700027_2014_6",0.21374
"264","700027_2014_7",0.21374
"265","700029_2014_7",0.21374
"266","700030_2014_6",0.21374
"267","700034_2014_6",0.21374
"268","700034_2014_7",0.21374
"269","700035_2014_7",0.21374
"270","700039_2014_6",0.21374
"271","700039_2014_7",0.21374
"272","700047_2014_6",0.21374
"273","700049_2014_6",0.21374
"274","700049_2014_7",0.21374
"275","700050_2014_6",0.21374
"276","700050_2014_7",0.21374
"277","700054_2014_6",0.21374
"278","700054_2014_7",0.21374
"279","700067_2014_6",0.21374
"280","700067_2014_7",0.21374
"281","700072_2014_6",0.21374
"282","700072_2014_7",0.21374
"283","700073_2014_6",0.21374
"284","700074_2014_6",0.21374
"285","700074_2014_7",0.21374
"286","700077_2014_6",0.21374
"287","700077_2014_7",0.21374
"288","700078_2014_6",0.21374
"289","700078_2014_7",0.21374
"290","700081_2014_6",0.21374
"291","700087_2014_6",0.21374
"292","700087_2014_7",0.21374
"293","700094_2014_6",0.21374
"294","700094_2014_7",0.21374
"295","700099_2014_6",0.21374
"296","700099_2014_7",0.21374
"297","700101_2014_6",0.21374
"298","700101_2014_7",0.21374
"299","700389_2014_6",0.21374
"300","700389_2014_7",0.21374
"301","800001_2014_6",0.21374
"302","800002_2014_6",0.21374
"303","800002_2014_7",0.21374
"304","800014_2014_6",0.21374
"305","800014_2014_7",0.21374
"306","800030_2014_6",0.21374
"307","800030_2014_7",0.21374
"308","800039_2014_6",0.21374
"309","800040_2014_6",0.21374
"310","800040_2014_7",0.21374
"311","800041_2014_6",0.21374
"312","800043_2014_6",0.21374
"313","800043_2014_7",0.21374
"314","800047_2014_6",0.21374
"315","800051_2014_7",0.21374
"316","800053_2014_6",0.21374
"317","800053_2014_7",0.21374
"318","800054_2014_6",0.21374
"319","800054_2014_7",0.21374
"320","800075_2014_6",0.21374
"321","800075_2014_7",0.21374
"322","800080_2014_6",0.21374
"323","800081_2014_6",0.21374
"324","800081_2014_7",0.21374
"325","800084_2014_6",0.21374
"326","800084_2014_7",0.21374
"327","800103_2014_6",0.21374
"328","800103_2014_7",0.21374
"329","800252_2014_6",0.21374
"330","800252_2014_7",0.21374
"331","900014_2014_7",0.21374
"332","900015_2014_6",0.21374
"333","900019_2014_6",0.21374
"334","900022_2014_6",0.21374
"335","900023_2014_6",0.21374
"336","900023_2014_7",0.21374
"337","900028_2014_6",0.21374
"338","900030_2014_6",0.21374
"339","900030_2014_7",0.21374
"340","900032_2014_7",0.21374
"341","900037_2014_6",0.21374
"342","900037_2014_7",0.21374
"343","900042_2014_6",0.21374
"344","900043_2014_6",0.21374
"345","900043_2014_7",0.21374
"346","900044_2014_6",0.21374
"347","900044_2014_7",0.21374
"348","900049_2014_6",0.21374
"349","900051_2014_6",0.21374
"350","900051_2014_7",0.21374
"351","900055_2014_6",0.21374
"352","900056_2014_6",0.21374
"353","900056_2014_7",0.21374
"354","900062_2014_6",0.21374
"355","900065_2014_6",0.21374
"356","900065_2014_7",0.21374
"357","900069_2014_6",0.21374
"358","900069_2014_7",0.21374
"359","900070_2014_6",0.21374
"360","900070_2014_7",0.21374
"361","900071_2014_6",0.21374
"362","900073_2014_6",0.21374
"363","900082_2014_6",0.21374
"364","900082_2014_7",0.21374
"365","900086_2014_6",0.21374
"366","900090_2014_6",0.21374
"367","900096_2014_6",0.21374
"368","900102_2014_7",0.21374
"369","900165_2014_6",0.21374
"370","900165_2014_7",0.21374
"371","900262_2014_6",0.21374
"372","900262_2014_7",0.21374
"373","900276_2014_6",0.21374
"374","900397_2014_6",0.21374
"375","900397_2014_7",0.21374
"376","900400_2014_6",0.21374
"377","900400_2014_7",0.21374
"378","900408_2014_6",0.21374
"379","900408_2014_7",0.21374
"380","900409_2014_6",0.21374
"381","900409_2014_7",0.21374
"382","900410_2014_6",0.21374
"383","900410_2014_7",0.21374
"384","900411_2014_6",0.21374
"385","900411_2014_7",0.21374
"386","900417_2014_6",0.21374
"387","900417_2014_7",0.21374
"388","900428_2014_6",0.21374
"389","900428_2014_7",0.21374
"390","900430_2014_6",0.21374
"391","900430_2014_7",0.21374
"392","1000001_2014_6",0.21374
"393","1000001_2014_7",0.21374
"394","1000002_2014_6",0.21374
"395","1000002_2014_7",0.21374
"396","1000007_2014_6",0.21374
"397","1000014_2014_6",0.21374
"398","1000015_2014_6",0.21374
"399","1000016_2014_6",0.21374
"400","1000016_2014_7",0.21374
"401","1000018_2014_6",0.21374
"402","1000024_2014_6",0.21374
"403","1000030_2014_6",0.21374
"404","1000030_2014_7",0.21374
"405","1000031_2014_6",0.21374
"406","1000031_2014_7",0.21374
"407","1000035_2014_6",0.21374
"408","1000035_2014_7",0.21374
"409","1000083_2014_7",0.21374
"410","1000086_2014_7",0.21374
"411","1000095_2014_6",0.21374
"412","1000095_2014_7",0.21374
"413","1000096_2014_7",0.21374
"414","1000100_2014_6",0.21374
"415","1000100_2014_7",0.21374
"416","1000103_2014_6",0.21374
"417","1000103_2014_7",0.21374
"418","1000105_2014_6",0.21374
"419","1000105_2014_7",0.21374
"420","1000108_2014_6",0.21374
"421","1000108_2014_7",0.21374
"422","1000109_2014_6",0.21374
"423","1000110_2014_6",0.21374
"424","1000118_2014_7",0.21374
"425","1000123_2014_7",0.21374
"426","1000127_2014_6",0.21374
"427","1000127_2014_7",0.21374
"428","1000128_2014_6",0.21374
"429","1000128_2014_7",0.21374
"430","1000132_2014_6",0.21374
"431","1000132_2014_7",0.21374
"432","1000134_2014_7",0.21374
"433","1000138_2014_6",0.21374
"434","1000138_2014_7",0.21374
"435","1000139_2014_6",0.21374
"436","1000139_2014_7",0.21374
"437","1000141_2014_6",0.21374
"438","1000141_2014_7",0.21374
"439","1000149_2014_6",0.21374
"440","1000150_2014_6",0.21374
"441","1000150_2014_7",0.21374
"442","1000155_2014_6",0.21374
"443","1000156_2014_6",0.21374
"444","1000175_2014_7",0.21374
"445","1100009_2014_6",0.21374
"446","1100009_2014_7",0.21374
"447","1100016_2014_7",0.21374
"448","1100051_2014_7",0.21374
"449","1100052_2014_6",0.21374
"450","1100052_2014_7",0.21374
"451","1100055_2014_6",0.21374
"452","1100059_2014_6",0.21374
"453","1100061_2014_7",0.21374
"454","1100062_2014_6",0.21374
"455","1100069_2014_7",0.21374
"456","1100075_2014_7",0.21374
"457","1100081_2014_6",0.21374
"458","1100081_2014_7",0.21374
"459","1100082_2014_6",0.21374
"460","1100082_2014_7",0.21374
"461","1100083_2014_6",0.21374
"462","1100083_2014_7",0.21374
"463","1100089_2014_6",0.21374
"464","1100092_2014_6",0.21374
"465","1100092_2014_7",0.21374
"466","1100096_2014_6",0.21374
"467","1100096_2014_7",0.21374
"468","1100097_2014_6",0.21374
"469","1100097_2014_7",0.21374
"470","1100099_2014_6",0.21374
"471","1100101_2014_6",0.21374
"472","1100103_2014_6",0.21374
"473","1100103_2014_7",0.21374
"474","1100105_2014_6",0.21374
"475","1100105_2014_7",0.21374
"476","1100106_2014_6",0.21374
"477","1100106_2014_7",0.21374
"478","1100107_2014_6",0.21374
"479","1100110_2014_7",0.21374
"480","1100111_2014_6",0.21374
"481","1100112_2014_6",0.21374
"482","1100130_2014_6",0.21374
"483","1100130_2014_7",0.21374
"484","1100132_2014_7",0.21374
"485","1200003_2014_6",0.21374
"486","1200003_2014_7",0.21374
"487","1200006_2014_6",0.21374
"488","1200006_2014_7",0.21374
"489","1200011_2014_6",0.21374
"490","1200011_2014_7",0.21374
"491","1200031_2014_6",0.21374
"492","1200031_2014_7",0.21374
"493","1200040_2014_6",0.21374
"494","1200041_2014_6",0.21374
"495","1200041_2014_7",0.21374
"496","1200048_2014_6",0.21374
"497","1200048_2014_7",0.21374
"498","1200050_2014_6",0.21374
"499","1200050_2014_7",0.21374
"500","1200056_2014_6",0.21374
"501","1200056_2014_7",0.21374
"502","1200062_2014_6",0.21374
"503","1200062_2014_7",0.21374
"504","1200067_2014_6",0.21374
"505","1200068_2014_6",0.21374
"506","1200069_2014_7",0.21374
"507","1200075_2014_7",0.21374
"508","1200076_2014_7",0.21374
"509","1200080_2014_7",0.21374
"510","1200083_2014_6",0.21374
"511","1200083_2014_7",0.21374
"512","1200087_2014_6",0.21374
"513","1200087_2014_7",0.21374
"514","1200096_2014_7",0.21374
"515","1200097_2014_6",0.21374
"516","1200097_2014_7",0.21374
"517","1200098_2014_6",0.21374
"518","1200100_2014_6",0.21374
"519","1200100_2014_7",0.21374
"520","1200108_2014_6",0.21374
"521","1200114_2014_6",0.21374
"522","1200117_2014_6",0.21374
"523","1200127_2014_6",0.21374
"524","1200127_2014_7",0.21374
"525","1200129_2014_6",0.21374
"526","1200129_2014_7",0.21374
"527","1200137_2014_6",0.21374
"528","1300003_2014_6",0.21374
"529","1300003_2014_7",0.21374
"530","1300009_2014_7",0.21374
"531","1300016_2014_6",0.21374
"532","1300016_2014_7",0.21374
"533","1300025_2014_6",0.21374
"534","1300027_2014_6",0.21374
"535","1300027_2014_7",0.21374
"536","1300036_2014_7",0.21374
"537","1300050_2014_6",0.21374
"538","1300051_2014_6",0.21374
"539","1300051_2014_7",0.21374
"540","1300057_2014_6",0.21374
"541","1300057_2014_7",0.21374
"542","1300058_2014_6",0.21374
"543","1300058_2014_7",0.21374
"544","1300059_2014_6",0.21374
"545","1300059_2014_7",0.21374
"546","1300063_2014_7",0.21374
"547","1300073_2014_6",0.21374
"548","1300073_2014_7",0.21374
"549","1300075_2014_6",0.21374
"550","1300075_2014_7",0.21374
"551","1300093_2014_6",0.21374
"552","1300093_2014_7",0.21374
"553","1300100_2014_7",0.21374
"554","1300101_2014_6",0.21374
"555","1300101_2014_7",0.21374
"556","1300105_2014_6",0.21374
"557","1300105_2014_7",0.21374
"558","1300108_2014_6",0.21374
"559","1300122_2014_6",0.21374
"560","1300122_2014_7",0.21374
"561","1300123_2014_6",0.21374
"562","1300123_2014_7",0.21374
"563","1300125_2014_7",0.21374
"564","1400001_2014_6",0.21374
"565","1400001_2014_7",0.21374
"566","1400004_2014_6",0.21374
"567","1400004_2014_7",0.21374
"568","1400010_2014_6",0.21374
"569","1400010_2014_7",0.21374
"570","1400013_2014_7",0.21374
"571","1400015_2014_6",0.21374
"572","1400015_2014_7",0.21374
"573","1400016_2014_7",0.21374
